Model,Test Accuracy,Test Accuracy (%),Test Loss,mAP,mAP (%),Training Time (seconds),Training Time (minutes),Total Parameters
ResNet50,0.7114942669868469,71.14942669868469,0.8988189101219177,0.7855776636249059,78.55776636249058,5880.304602861404,98.00507671435676,23597957
DenseNet121,0.6356321573257446,63.56321573257446,0.9477569460868835,0.7058422770592893,70.58422770592892,5988.468668460846,99.8078111410141,7042629
MobileNetV3Small,0.6264367699623108,62.64367699623108,0.978535294532776,0.689870267526125,68.98702675261251,492.1501252651215,8.202502087752025,942005
