accuracy,loss,val_accuracy,val_loss
0.437438428401947,1.4715443849563599,0.5609756112098694,1.165546178817749
0.5975369215011597,1.0788441896438599,0.6146341562271118,1.0486326217651367
0.6416256427764893,0.9594475030899048,0.6499999761581421,0.9640541672706604
0.6662561297416687,0.8875769972801208,0.6304877996444702,0.9837446808815002
0.6832512021064758,0.8435447216033936,0.6621951460838318,0.9588158130645752
0.6990147829055786,0.8047849535942078,0.6682927012443542,0.9118853211402893
0.7189655303955078,0.7720343470573425,0.6719512343406677,0.9099929332733154
0.7216748595237732,0.7371960878372192,0.6865853667259216,0.8757004737854004
0.7224137783050537,0.739426851272583,0.6841463446617126,0.8848305344581604
0.7418718934059143,0.6944627165794373,0.7012194991111755,0.8592812418937683
0.745320200920105,0.6854382157325745,0.6926829218864441,0.8687459230422974
0.7428571581840515,0.6939267516136169,0.6841463446617126,0.8983895182609558
0.7551724314689636,0.6647220849990845,0.6853658556938171,0.8757115006446838
0.7605911493301392,0.6602087020874023,0.6914634108543396,0.8512062430381775
0.759605884552002,0.6539471745491028,0.7036585211753845,0.8272914886474609
0.7588669657707214,0.6460153460502625,0.6890243887901306,0.8435959815979004
0.7662561535835266,0.6366714835166931,0.699999988079071,0.8373012542724609
0.7667487859725952,0.6367612481117249,0.7036585211753845,0.8552679419517517
0.7832512259483337,0.5984482765197754,0.7158536314964294,0.8303022980690002
0.7738916277885437,0.6264909505844116,0.6841463446617126,0.9065225720405579
0.770443320274353,0.6194950938224792,0.712195098400116,0.8486327528953552
0.7714285850524902,0.6138138771057129,0.6975609660148621,0.8510885238647461
0.7770935893058777,0.6054155826568604,0.7036585211753845,0.8593297600746155
0.7788177132606506,0.6101792454719543,0.6963414549827576,0.8433120250701904
0.7706896662712097,0.6108489632606506,0.6743902564048767,0.9056878089904785
0.7706896662712097,0.616261899471283,0.6756097674369812,0.9246272444725037
0.7748768329620361,0.6050171256065369,0.7170731425285339,0.8391905426979065
0.7827585935592651,0.5788429975509644,0.699999988079071,0.8523663878440857
0.7854679822921753,0.5895069241523743,0.7060975432395935,0.84629225730896
0.7896551489830017,0.5829864740371704,0.7170731425285339,0.8450317978858948
0.7763546705245972,0.5942147374153137,0.6975609660148621,0.8484391570091248
0.7805418968200684,0.595023512840271,0.704878032207489,0.8441544771194458
0.7830049395561218,0.5859877467155457,0.704878032207489,0.8648959398269653
0.7780787944793701,0.5865800976753235,0.7219512462615967,0.8395931124687195
0.7837438583374023,0.5844500064849854,0.714634120464325,0.8362550139427185
0.7788177132606506,0.5821965932846069,0.6951219439506531,0.8850278258323669
0.7859606146812439,0.5710046887397766,0.714634120464325,0.8470784425735474
0.7879310250282288,0.578592836856842,0.7170731425285339,0.8399621248245239
0.7854679822921753,0.5756285190582275,0.7195122241973877,0.8577212691307068
0.7783251404762268,0.5912318825721741,0.714634120464325,0.8279828429222107
0.7849753499031067,0.5724519491195679,0.7109755873680115,0.8576387166976929
0.7802955508232117,0.5870053172111511,0.704878032207489,0.8722044229507446
0.7825123071670532,0.5854843854904175,0.70243901014328,0.8671649694442749
0.7866995334625244,0.5811175107955933,0.7158536314964294,0.8691139221191406
0.7869458198547363,0.5689411163330078,0.7158536314964294,0.84288090467453
0.7778325080871582,0.590093731880188,0.709756076335907,0.8497048020362854
0.7901477813720703,0.55257648229599,0.7280488014221191,0.8542827367782593
0.7842364311218262,0.5798026919364929,0.7109755873680115,0.8503671288490295
0.7839901447296143,0.5776486992835999,0.7256097793579102,0.8467850685119629
0.798275887966156,0.5581473708152771,0.7219512462615967,0.8740177750587463
