accuracy,loss,val_accuracy,val_loss
0.3450738787651062,1.5552034378051758,0.5207316875457764,1.2250702381134033
0.5113300681114197,1.238671064376831,0.5768292546272278,1.1184322834014893
0.5573891401290894,1.1384131908416748,0.5865853428840637,1.0879710912704468
0.5839901566505432,1.0911383628845215,0.5951219797134399,1.0578826665878296
0.6078817844390869,1.0404002666473389,0.5963414907455444,1.043644666671753
0.6076354384422302,1.028136134147644,0.6060975790023804,1.03909432888031
0.6221674680709839,1.0042062997817993,0.6048780679702759,1.0312268733978271
0.6133005023002625,1.0073150396347046,0.6146341562271118,1.0133919715881348
0.6184729337692261,0.9927031993865967,0.6207317113876343,1.0079920291900635
0.6285714507102966,0.9679765105247498,0.6109756231307983,1.0075355768203735
0.635960578918457,0.9603052735328674,0.6207317113876343,0.989109218120575
0.628078818321228,0.9646540880203247,0.6097561120986938,0.9959309697151184
0.6475369334220886,0.9489721655845642,0.6109756231307983,0.9909515976905823
0.6470443606376648,0.9547253847122192,0.6243902444839478,0.984128475189209
0.6423645615577698,0.9494097828865051,0.6121951341629028,0.9816432595252991
0.6394088864326477,0.9517088532447815,0.6195122003555298,0.9777083992958069
0.6470443606376648,0.9345302581787109,0.6317073106765747,0.9889613389968872
0.6389162540435791,0.9408421516418457,0.6268292665481567,0.9789953231811523
0.6492610573768616,0.9321117997169495,0.6207317113876343,0.9705108404159546
0.6467980146408081,0.929513692855835,0.6158536672592163,0.9715113043785095
0.6527093648910522,0.9242186546325684,0.6292682886123657,0.9664189219474792
0.6487684845924377,0.9206131100654602,0.6341463327407837,0.972937285900116
0.6475369334220886,0.930823802947998,0.6146341562271118,0.9815399050712585
0.6443349719047546,0.9390102624893188,0.6219512224197388,0.9769541621208191
0.6499999761581421,0.9289007186889648,0.6317073106765747,0.9779937267303467
0.6480295658111572,0.9335802793502808,0.6121951341629028,0.9702507853507996
0.6532019972801208,0.9306612610816956,0.6268292665481567,0.9735587239265442
0.6512315273284912,0.9182254672050476,0.6256097555160522,0.9731290340423584
0.6490147709846497,0.9262466430664062,0.6231707334518433,0.9708371162414551
0.648522138595581,0.9172558188438416,0.6134146451950073,0.9698370695114136
0.6497536897659302,0.9200049042701721,0.6134146451950073,0.9837048053741455
0.6536945700645447,0.9163118004798889,0.6390243768692017,0.9685924053192139
0.648522138595581,0.926608681678772,0.6317073106765747,0.9629708528518677
0.6583743691444397,0.9115782976150513,0.6292682886123657,0.9735724925994873
0.6433497667312622,0.936027467250824,0.6304877996444702,0.9626748561859131
0.6514778137207031,0.9177711009979248,0.6365853548049927,0.95613032579422
0.6546797752380371,0.9167277812957764,0.6329268217086792,0.9634896516799927
0.6573891639709473,0.9083706140518188,0.6329268217086792,0.9606269001960754
0.6431034207344055,0.9302846789360046,0.6268292665481567,0.9644981026649475
0.6541872024536133,0.9135926365852356,0.6243902444839478,0.9645095467567444
0.6608374118804932,0.9186000227928162,0.6280487775802612,0.9638299942016602
0.6541872024536133,0.9214189648628235,0.6292682886123657,0.9588643312454224
0.6561576128005981,0.9125227332115173,0.6219512224197388,0.9577779769897461
0.6660098433494568,0.8939607739448547,0.6329268217086792,0.9585675597190857
0.6551724076271057,0.9104691743850708,0.6304877996444702,0.9575955271720886
0.6588670015335083,0.9146368503570557,0.6317073106765747,0.9633487462997437
0.6475369334220886,0.9303399920463562,0.6231707334518433,0.9667229056358337
0.6613300442695618,0.917481541633606,0.6280487775802612,0.9676836133003235
0.6522167325019836,0.9160901308059692,0.6317073106765747,0.9582390189170837
0.6536945700645447,0.9258489012718201,0.6243902444839478,0.9720396399497986
