accuracy,loss,val_accuracy,val_loss
0.35517242550849915,1.6180554628372192,0.49268293380737305,1.240685224533081
0.48620688915252686,1.2856109142303467,0.5560975670814514,1.123956322669983
0.55147784948349,1.1482783555984497,0.5756097435951233,1.07679283618927
0.5679802894592285,1.1154370307922363,0.6134146451950073,1.0508581399917603
0.5950738787651062,1.0760637521743774,0.6036585569381714,1.0374162197113037
0.5977832674980164,1.052528738975525,0.6097561120986938,1.0269417762756348
0.6046798229217529,1.0250275135040283,0.5951219797134399,1.0288313627243042
0.6115763783454895,1.0097146034240723,0.6146341562271118,1.0054728984832764
0.6209359765052795,0.9959609508514404,0.6231707334518433,0.9957404136657715
0.609359622001648,1.0007716417312622,0.6317073106765747,0.9928175806999207
0.6100985407829285,1.00615656375885,0.6195122003555298,0.9894286394119263
0.6253694295883179,0.9785155057907104,0.6256097555160522,0.9861739277839661
0.6310344934463501,0.9712755084037781,0.6170731782913208,0.9960776567459106
0.6224138140678406,0.9868028163909912,0.6256097555160522,0.9854702353477478
0.6241379380226135,0.9800434112548828,0.6231707334518433,0.9839531183242798
0.6290640234947205,0.9729738831520081,0.6304877996444702,0.9877743124961853
0.628078818321228,0.9696561694145203,0.6097561120986938,1.0103657245635986
0.631280779838562,0.9651974439620972,0.6158536672592163,0.9714542031288147
0.6325123310089111,0.9672131538391113,0.6304877996444702,0.9804155230522156
0.6352216601371765,0.9677427411079407,0.6304877996444702,0.9742705821990967
0.631280779838562,0.9662359356880188,0.6073170900344849,0.9841634631156921
0.6231527328491211,0.9875105619430542,0.6231707334518433,0.9620140194892883
0.6325123310089111,0.9641581773757935,0.6329268217086792,1.0047281980514526
0.6347290873527527,0.9567970633506775,0.6280487775802612,0.9696385860443115
0.6371921300888062,0.9525294899940491,0.6207317113876343,0.9604624509811401
0.6433497667312622,0.961786687374115,0.6280487775802612,0.961510956287384
0.639162540435791,0.9601747989654541,0.6158536672592163,0.9791915416717529
0.639162540435791,0.9696309566497803,0.6329268217086792,0.9657098650932312
0.6347290873527527,0.9540481567382812,0.6439024209976196,0.973829984664917
0.6231527328491211,0.9646638035774231,0.6353658437728882,0.9610038995742798
0.628078818321228,0.9664494395256042,0.6207317113876343,0.9622547626495361
0.629802942276001,0.9787960052490234,0.6231707334518433,0.9694122076034546
0.6463054418563843,0.9504186511039734,0.6219512224197388,0.9867032766342163
0.6440886855125427,0.9457411170005798,0.6280487775802612,0.976309061050415
0.6386699676513672,0.9566446542739868,0.6329268217086792,0.9603166580200195
0.6211822628974915,0.9696484804153442,0.6304877996444702,0.9664666056632996
0.6315270662307739,0.9577963352203369,0.6195122003555298,0.9741090536117554
0.6379310488700867,0.9504400491714478,0.6207317113876343,0.9826292395591736
0.6302955746650696,0.9692598581314087,0.6243902444839478,1.0077444314956665
0.6317734122276306,0.9585549831390381,0.6268292665481567,1.0019696950912476
0.6337438225746155,0.9668580293655396,0.6304877996444702,0.9581060409545898
0.628078818321228,0.9629221558570862,0.6341463327407837,0.9677718877792358
0.6431034207344055,0.9597623348236084,0.6256097555160522,0.956794798374176
0.6357142925262451,0.9724578857421875,0.6329268217086792,0.974104106426239
0.6364532113075256,0.9510225653648376,0.6158536672592163,0.9818466305732727
0.6332512497901917,0.9625389575958252,0.6170731782913208,0.970358669757843
0.6362069249153137,0.9597712159156799,0.6341463327407837,0.9569283127784729
0.6386699676513672,0.9382497668266296,0.6268292665481567,0.9481922388076782
0.6342364549636841,0.9637590646743774,0.6024390459060669,0.9851570129394531
0.623399019241333,0.9723030924797058,0.6353658437728882,0.9500651955604553
